	Ampicillin
71	1
4	1
85	1
11	0
158	1
42	0
125	0
89	0
8	0
16	0
102	1
52	0
134	1
152	0
45	1
9	0
17	1
54	1
46	0
95	0
106	0
78	0
77	0
116	1
131	1
210	1
139	1
209	0
202	0
104	0
186	1
170	1
192	1
93	0
19	0
31	1
65	0
127	1
148	0
70	0
61	1
203	0
15	1
103	0
197	0
41	0
167	0
173	0
153	1
97	0
181	1
22	0
37	0
83	0
135	0
99	0
128	0
129	1
206	0
200	0
117	0
179	0
118	1
10	0
119	0
208	0
79	0
48	1
123	0
39	1
101	1
188	0
60	0
194	0
154	1
211	0
87	0
150	0
0	0
24	1
147	0
196	1
162	0
28	0
176	0
49	1
155	0
72	0
171	0
190	1
198	1
169	1
163	1
174	0
112	1
5	0
189	1
7	0
168	1
30	0
115	0
161	0
29	1
81	0
146	0
193	1
110	1
96	0
55	1
67	0
21	0
68	0
25	0
92	0
204	0
44	0
50	0
84	0
121	0
76	0
73	0
107	0
59	1
64	0
86	0
185	0
126	0
43	1
98	0
120	0
80	0
91	0
144	0
149	0
18	1
166	0
141	0
160	1
57	0
26	0
40	0
63	1
58	0
13	0
32	1
201	1
69	1
172	1
184	0
56	0
111	1
75	0
187	1
27	0
207	1
140	0
51	1
137	1
156	1
